Date,SPY,S1 (متساوي),S2 (VIX أكبر),S3 (سلع أكبر)
2018-01-01,270.4967141530112,99.51417163272936,99.48785778276402,99.20747298677361
2018-01-02,270.35844985184,98.8243625503349,100.81116626237308,99.67031406371586
2018-01-03,271.00613838994076,98.5110039380399,100.84568209443724,99.67098003052824
2018-01-04,272.5291682463488,98.94220067423129,101.38386986761546,98.7443197215793
2018-01-05,272.2950148716254,99.41876319691933,100.95811131240413,99.04005010469042
2018-01-08,272.06087791467627,99.67530590696798,101.2122922518253,99.54021202759283
2018-01-09,273.64009073018366,100.03785380039197,101.43006924562553,99.17953609599152
2018-01-10,274.40752545933657,100.29594294394946,100.10731474115822,99.87908600814465
2018-01-11,273.9380510734016,99.97520214633798,101.51800731848067,98.87902796407114
2018-01-12,274.4806111169876,100.19116341867495,102.42145844112646,97.98217427620135
2018-01-15,274.0171934241751,100.59136818128879,102.14342171982426,98.0641327135546
2018-01-16,273.55146367060485,100.96851384619558,101.37183290150517,98.07936388033797
2018-01-17,273.79342594217087,101.5629705319329,101.61512603116765,97.6494197872835
2018-01-18,271.88014569751306,101.91712245553343,101.67581442075773,98.13517644886663
2018-01-19,270.15522786500003,102.09284655930422,101.92478268475199,98.4537130373962
2018-01-22,269.59294033575907,102.62792167846244,102.05888686208786,98.96859647995662
2018-01-23,268.58010921542467,102.6146610488379,102.413255554602,98.89471461874525
2018-01-24,268.8943565480199,102.17372372322404,103.42636954417627,99.25626277953225
2018-01-25,267.9863324724987,102.09219024125217,103.82404178776632,98.98887259771426
2018-01-26,266.5740287711634,101.71973891884895,103.08928293852937,100.22116381176622
2018-01-29,268.039677540085,101.38214978136175,104.04307693542808,99.73363634969303
2018-01-30,267.81390123959847,101.30989044600399,105.19150712986988,100.99681480736801
2018-01-31,267.88142944428637,100.91368048550402,107.39794684402834,101.01774757562166
2018-02-01,266.45668125807293,100.7596997206845,106.61150102076061,100.19244104188041
2018-02-02,265.9122985335477,99.8128923872076,106.78151842996581,101.01328865217357
2018-02-05,266.0232211232576,99.91953924089407,105.32404933773353,101.08882948521055
2018-02-06,264.8722275458353,99.92014197857517,105.71125374719897,101.59950394423869
2018-02-07,265.24792556418095,99.51159766304109,105.32751353848222,102.33381749536424
2018-02-08,264.64728687426214,99.84122049725728,106.6739255948597,102.53659082785126
2018-02-09,264.3555931244689,100.31000556607057,106.13169511584668,102.18124632096357
2018-02-12,263.7538865122395,99.50622563388607,104.9492669892696,102.76667434756513
2018-02-13,265.6061646967484,99.12486324460298,104.61938237077784,102.76712765203789
2018-02-14,265.5926674720105,98.74029206970933,103.23654093092584,103.17864234320294
2018-02-15,264.5349565430546,98.27034051915489,103.76231054908096,101.88640399892806
2018-02-16,265.3575014551578,98.68507794012076,102.31675241670153,102.15459302913396
2018-02-19,264.13665780518676,98.58816487073436,102.33667272352974,101.77144153404694
2018-02-20,264.3455214001915,98.45590745007905,100.88220444963041,102.76342731635407
2018-02-21,262.3858512763117,97.45397626787567,100.65799598645476,103.13727972508752
2018-02-22,261.0576652274133,97.7716852829803,101.80836069551793,103.2811943725971
2018-02-23,261.25452646328245,97.15205608555355,102.060814219523,103.57298036860723
2018-02-26,261.99299304327786,97.18202240068672,101.45636869604753,102.9739158568812
2018-02-27,262.1643613244678,97.32071086966582,101.43452625379018,103.94786987119804
2018-02-28,262.04871304207956,98.00104016758515,101.44713806422129,105.14269212224818
2018-03-01,261.74760934649026,97.34662996802558,101.77797930631168,105.3784402285771
2018-03-02,260.26908735612284,95.83687389011517,100.82117845201509,106.3326823697213
2018-03-05,259.54924314772813,95.92879866249203,101.23597554370822,105.99119345051777
2018-03-06,259.08860437676833,96.82905425324745,99.34290140158629,105.51292531078278
2018-03-07,260.1457266029873,97.44852742971717,98.90198221493162,105.53748016002014
2018-03-08,260.4893448925557,97.55335713735448,98.56019052521553,105.79844478304088
2018-03-09,258.726304737193,97.30753904453846,99.0035193034654,105.56205277429501
2018-03-12,259.0503887065878,97.71110034285711,99.01936090033921,105.8847136885161
2018-03-13,258.66530642617147,97.22432724300488,98.03546676263981,106.06854737776014
2018-03-14,257.9883844258655,97.46250612768299,97.3459715745679,105.4695633125855
2018-03-15,258.6000607147064,97.7152412072663,97.48504758125108,105.78083912305654
2018-03-16,259.63106023720235,98.24534616101575,97.4297004419459,106.29895606856945
2018-03-19,260.56234035631854,99.62517618047129,97.02431356520087,106.40183765912369
2018-03-20,259.7231228330959,99.82138416406066,96.6877299125425,107.0934265210807
2018-03-21,259.4139104572447,99.56690235120692,97.175047510554,106.36298424498253
2018-03-22,259.74517388864825,99.55411519511091,96.81266270954553,106.64375449826164
2018-03-23,260.7207190157706,98.66957724266636,96.75099883872518,105.94158607442358
2018-03-26,260.2415447779253,98.32222067712183,98.26995445038156,105.27313725948373
2018-03-27,260.0558858012615,98.11757945806528,97.27337660456283,104.89457875924106
2018-03-28,258.94955082725545,97.85553525909798,95.97708669246056,104.3293426490965
2018-03-29,257.7533442031748,97.93171269511484,96.52559945781958,104.00054515785183
2018-03-30,258.565870025569,97.52050272892374,96.05054931491371,103.87205497142511
2018-04-02,259.9221100541398,98.08101806258598,95.82778304549387,104.37434766322394
2018-04-03,259.8500999325595,98.08112159504508,95.2809735808021,104.18165224000052
2018-04-04,260.8536328304515,98.07647143447576,95.09911348226484,103.23027681593877
2018-04-05,261.2152688554991,97.91252407621931,96.21809016073227,103.91431752383586
2018-04-06,260.570149100894,97.9901194181488,96.77958008176496,103.41206344366684
2018-04-09,260.9315447064024,98.40266855048262,97.38313654008584,103.37683118740406
2018-04-10,262.4695812728684,97.96910344262716,96.391777601031,103.64475309156849
2018-04-11,262.43375523375846,97.64004519808954,95.58596998544398,103.76451934261016
2018-04-12,263.99839888957246,97.4881821837012,93.59861492380419,104.42102707112304
2018-04-13,261.3786537854827,96.8152467219646,93.03204834904626,104.7084289571587
2018-04-16,262.20055628985796,96.40561779210385,93.70174057951623,104.19164320934043
2018-04-17,262.28760335809613,96.16750735533152,94.06360314054008,105.49878051373543
2018-04-18,261.98859600763024,96.60470194568788,93.9085438564736,105.61538059173837
2018-04-19,262.08035678416576,96.73598261018884,93.89293365787096,105.52697645576546
2018-04-20,260.09278786956486,96.83277756587262,93.41071377806817,106.10533170959881
2018-04-23,259.8731159817273,97.2582265469566,93.55404499574942,106.25500227715685
2018-04-24,260.2302285532391,97.1895406527569,94.09015979138586,106.49453919292046
2018-04-25,261.7081225979806,97.38477307772135,92.95903904019852,107.98984959208086
2018-04-26,261.18985237970696,97.3331622012551,93.16879242168467,107.82477673512783
2018-04-27,260.3813587768138,97.46584337595492,93.82149683135293,107.6341201987174
2018-04-30,259.8796017332292,97.17446404714913,93.53092662907858,107.70406730592488
2018-05-01,260.7950038509313,95.95505546801091,94.02141705756299,108.3469768672735
2018-05-02,261.123754960591,95.88791588691775,95.99167516869377,107.44305644915926
2018-05-03,260.593994756824,96.59928995496773,95.91863521360294,106.26372291427336
